web-scraper-order,web-scraper-start-url,Product Name,Name,Price,Rating,Reviews,Description,ASIN,Product Description,Manufacturer
1675355229-1,https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),,,,,,,,
1675355233-2,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,,,,,,,,
1675355233-3,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,TYPIFY ® Girl's Fashion Waterproof Backpack Korean Design Drawstring Chain Travel Bag (Pink),,,,,,,,
1675355233-4,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"SABUZ BAG 15.6-inch Laptop Computer Briefcase,Water Resistant, Business Bag with Waterproof Zipper,Shoulder Bag Handbag,Compatible with laptop MacBook Notebook,for MeN&Women (GREY)",,,,,,,,
1675355233-5,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Isle Locada by Hidesign Women's SLING BAG(MARSALA),,,,,,,,
1675355233-6,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,,,,,,,,
1675355233-7,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,ADISA Women Girls Floral Print Round Sling Bag,,,,,,,,
1675355233-8,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Bennett Laptop Bag for Men? & Women 15.6 inch, 35 L Water Resistant Bag Laptop Apple / Dell / Lenovo / Asus / Hp / Samsung / Mi / MacBook / Ultrabook / Thinkpad / Ideapad / Surfacepro (Blue)",,,,,,,,
1675355233-9,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"uppercase Medium 17 Ltrs Vegan Leather (14.6 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)",,,,,,,,
1675355233-10,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Hidesign Women Sling Bag (Black),,,,,,,,
1675355233-11,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"POLESTAR Space 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",,,,,,,,
1675355233-12,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1675352188&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Wildcraft 44 Ltrs Casual Backpack (11629-Wolf_Blue),,,,,,,,
